dataset_fold_id,Accuracy__test_neural,Accuracy__test_non-neural,F1__test_neural,F1__test_non-neural,MSE__test_neural,MSE__test_non-neural,Log Loss__test_neural,Log Loss__test_non-neural,alg_name_neural,alg_name_non-neural,time__train_neural,time__train_non-neural,time__test_neural,time__test_non-neural
openml__semeion__9964__fold_5,0.949685534591195,0.981132075471698,0.94992504248491,0.9811136317527066,,,0.2350119123468811,0.12244314692945,VIME,SVM,81.1499806060001,4.50863283700005,0.0468388770000274,0.1376860630000465
openml__semeion__9964__fold_6,0.9245283018867924,0.9371069182389936,0.9231246962133052,0.9372597679101762,,,0.479181888785314,0.2068028513772405,rtdl_ResNet,LightGBM,4.2982430530000215,7.052502385000025,0.0478884039999911,0.028113908000023
openml__semeion__9964__fold_7,0.9559748427672956,0.9748427672955976,0.9560906603438756,0.9747741476822624,,,0.2326460345878631,0.1269784154068498,DANet,SVM,67.82539618500005,4.481100962000028,0.0479077790000701,0.131414647000156
openml__semeion__9964__fold_8,0.9622641509433962,0.981132075471698,0.9623744391453982,0.9808734242696506,,,0.1224356536541512,0.1224554959735627,STG,SVM,20.3785205170002,4.605616208000015,0.0025717389999044,0.1371126720000575
openml__semeion__9964__fold_9,0.9308176100628932,0.949685534591195,0.9304905724439576,0.9493552783624748,,,0.192990193236609,0.2096060374621893,VIME,SVM,25.400313468000604,4.605129164999994,0.0503208749996701,0.1495117389999904
openml__shuttle__146212__fold_0,0.9996551724137932,0.9998275862068966,0.9994828996878192,0.9998300398054626,,,0.0047241920164303,0.0024790236043587,STG,LightGBM,580.413521578,7.455217290999997,0.0232936490000383,0.1021031379999897
openml__shuttle__146212__fold_1,0.9989655172413792,0.9998275862068966,0.9988167259362224,0.9998353747394276,,,0.0054533047384581,0.0059549614474048,STG,DecisionTree,568.694306119,0.258320953000009,0.0225436769999305,0.0025821090000022
openml__shuttle__146212__fold_2,0.9993103448275862,1.0,0.9991476128252637,1.0,,,0.0052982598992545,0.0001929728517863,STG,XGBoost,564.1767735829999,0.5051188659999752,0.022185127000057,0.0325686909999944
openml__shuttle__146212__fold_3,0.9982758620689656,0.9998275862068966,0.9981974197788211,0.9997415109239272,,,0.0065960417495983,0.00057344147107,STG,LightGBM,554.9734341840001,9.119061690999956,0.0213401930000145,0.1807878020000544
openml__shuttle__146212__fold_4,0.9993103448275862,0.9996551724137932,0.9991309955618388,0.9996551724137932,,,0.0016728549585929,0.0119099228948032,SAINT,DecisionTree,416.631486090002,0.3920191020000061,0.2358963709993986,0.0215511650000053
