dataset,alg,experiment
openml__SpeedDating__146607,CatBoost,algs-gpu-1-datasets-b-v3
openml__SpeedDating__146607,CatBoost,algs-gpu-1-datasets-b
openml__SpeedDating__146607,DecisionTree,algs-cpu-1-datasets-b
openml__SpeedDating__146607,DeepFM,algs-gpu-2-datasets-b
openml__SpeedDating__146607,KNN,algs-cpu-1-datasets-b
openml__SpeedDating__146607,LightGBM,algs-cpu-1-datasets-b
openml__SpeedDating__146607,LinearModel,algs-cpu-1-datasets-b
openml__SpeedDating__146607,LinearModel,all-datasets-b
openml__SpeedDating__146607,MLP,algs-gpu-1-datasets-b-v3
openml__SpeedDating__146607,MLP,algs-gpu-1-datasets-b
openml__SpeedDating__146607,NAM,algs-gpu-2-datasets-b
openml__SpeedDating__146607,NODE,algs-gpu-2-datasets-b
openml__SpeedDating__146607,RandomForest,algs-cpu-1-datasets-b
openml__SpeedDating__146607,STG,algs-gpu-2-datasets-b
openml__SpeedDating__146607,SVM,algs-cpu-1-datasets-b
openml__SpeedDating__146607,TabNet,algs-gpu-1-datasets-b-v3
openml__SpeedDating__146607,TabNet,algs-gpu-1-datasets-b
openml__SpeedDating__146607,TabTransformer,algs-gpu-2-datasets-b
openml__SpeedDating__146607,VIME,algs-gpu-1-datasets-b-v3
openml__SpeedDating__146607,VIME,algs-gpu-1-datasets-b
openml__SpeedDating__146607,XGBoost,algs-gpu-1-datasets-b-v2
openml__SpeedDating__146607,XGBoost,algs-gpu-1-datasets-b-v3
openml__SpeedDating__146607,XGBoost,algs-gpu-1-datasets-b
openml__SpeedDating__146607,rtdl_MLP,algs-gpu-2-datasets-b
openml__SpeedDating__146607,rtdl_ResNet,algs-gpu-2-datasets-b
openml__Wine__190420,CatBoost,algs-gpu-1-datasets-b-v2
openml__Wine__190420,CatBoost,algs-gpu-1-datasets-b-v3
openml__Wine__190420,CatBoost,algs-gpu-1-datasets-b
openml__Wine__190420,DecisionTree,algs-cpu-1-datasets-b
openml__Wine__190420,DeepFM,algs-gpu-2-datasets-b
openml__Wine__190420,KNN,algs-cpu-1-datasets-b
openml__Wine__190420,LightGBM,algs-cpu-1-datasets-b
openml__Wine__190420,LinearModel,algs-cpu-1-datasets-b
openml__Wine__190420,LinearModel,all-datasets-b
openml__Wine__190420,MLP,algs-gpu-1-datasets-b-v3
openml__Wine__190420,MLP,algs-gpu-1-datasets-b
openml__Wine__190420,NAM,algs-gpu-2-datasets-b
openml__Wine__190420,NODE,algs-gpu-2-datasets-b
openml__Wine__190420,RandomForest,algs-cpu-1-datasets-b
openml__Wine__190420,SAINT,algs-gpu-2-datasets-b
openml__Wine__190420,STG,algs-gpu-2-datasets-b
openml__Wine__190420,SVM,algs-cpu-1-datasets-b
openml__Wine__190420,TabNet,algs-gpu-1-datasets-b-v3
openml__Wine__190420,TabNet,algs-gpu-1-datasets-b
openml__Wine__190420,TabTransformer,algs-gpu-2-datasets-b
openml__Wine__190420,VIME,algs-gpu-1-datasets-b-v3
openml__Wine__190420,VIME,algs-gpu-1-datasets-b
openml__Wine__190420,XGBoost,algs-gpu-1-datasets-b-v2
openml__Wine__190420,XGBoost,algs-gpu-1-datasets-b-v3
openml__Wine__190420,XGBoost,algs-gpu-1-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,CatBoost,algs-gpu-1-datasets-b-v2
openml__Wisconsin-breast-cancer-cytology-features__361003,CatBoost,algs-gpu-1-datasets-b-v3
openml__Wisconsin-breast-cancer-cytology-features__361003,CatBoost,algs-gpu-1-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,DecisionTree,algs-cpu-1-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,DeepFM,algs-gpu-2-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,KNN,algs-cpu-1-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,LightGBM,algs-cpu-1-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,LinearModel,algs-cpu-1-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,LinearModel,all-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,MLP,algs-gpu-1-datasets-b-v3
openml__Wisconsin-breast-cancer-cytology-features__361003,MLP,algs-gpu-1-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,NAM,algs-gpu-2-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,NODE,algs-gpu-2-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,RandomForest,algs-cpu-1-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,SAINT,algs-gpu-2-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,STG,algs-gpu-2-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,SVM,algs-cpu-1-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,TabNet,algs-gpu-1-datasets-b-v3
openml__Wisconsin-breast-cancer-cytology-features__361003,TabNet,algs-gpu-1-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,TabTransformer,algs-gpu-2-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,VIME,algs-gpu-1-datasets-b-v3
openml__Wisconsin-breast-cancer-cytology-features__361003,VIME,algs-gpu-1-datasets-b
openml__Wisconsin-breast-cancer-cytology-features__361003,XGBoost,algs-gpu-1-datasets-b-v2
openml__Wisconsin-breast-cancer-cytology-features__361003,XGBoost,algs-gpu-1-datasets-b-v3
openml__Wisconsin-breast-cancer-cytology-features__361003,XGBoost,algs-gpu-1-datasets-b
openml__acute-inflammations__10089,CatBoost,algs-gpu-1-datasets-b-v2
openml__acute-inflammations__10089,CatBoost,algs-gpu-1-datasets-b-v3
openml__acute-inflammations__10089,CatBoost,algs-gpu-1-datasets-b
openml__acute-inflammations__10089,DANet,algs-gpu-2-datasets-b
openml__acute-inflammations__10089,DecisionTree,algs-cpu-1-datasets-b
openml__acute-inflammations__10089,DecisionTree,all-datasets-b
openml__acute-inflammations__10089,DeepFM,algs-gpu-2-datasets-b
openml__acute-inflammations__10089,KNN,algs-cpu-1-datasets-b
openml__acute-inflammations__10089,LightGBM,algs-cpu-1-datasets-b
openml__acute-inflammations__10089,LinearModel,algs-cpu-1-datasets-b
openml__acute-inflammations__10089,LinearModel,all-datasets-b
openml__acute-inflammations__10089,MLP,algs-gpu-1-datasets-b-v2
openml__acute-inflammations__10089,MLP,algs-gpu-1-datasets-b-v3
openml__acute-inflammations__10089,MLP,algs-gpu-1-datasets-b
openml__acute-inflammations__10089,NAM,algs-gpu-2-datasets-b
openml__acute-inflammations__10089,NODE,algs-gpu-2-datasets-b
openml__acute-inflammations__10089,RandomForest,algs-cpu-1-datasets-b
openml__acute-inflammations__10089,STG,algs-gpu-2-datasets-b
openml__acute-inflammations__10089,SVM,algs-cpu-1-datasets-b
openml__acute-inflammations__10089,TabNet,algs-gpu-1-datasets-b-v3
openml__acute-inflammations__10089,TabNet,algs-gpu-1-datasets-b
openml__acute-inflammations__10089,TabTransformer,algs-gpu-2-datasets-b
openml__acute-inflammations__10089,VIME,algs-gpu-1-datasets-b-v3
openml__acute-inflammations__10089,VIME,algs-gpu-1-datasets-b
openml__acute-inflammations__10089,XGBoost,algs-gpu-1-datasets-b-v2
openml__acute-inflammations__10089,XGBoost,algs-gpu-1-datasets-b-v3
openml__acute-inflammations__10089,XGBoost,algs-gpu-1-datasets-b
openml__acute-inflammations__10089,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__acute-inflammations__10089,rtdl_MLP,algs-gpu-2-datasets-b
openml__acute-inflammations__10089,rtdl_ResNet,algs-gpu-2-datasets-b
openml__ada_agnostic__3896,CatBoost,algs-gpu-1-datasets-b-v2
openml__ada_agnostic__3896,CatBoost,algs-gpu-1-datasets-b-v3
openml__ada_agnostic__3896,CatBoost,algs-gpu-1-datasets-b
openml__ada_agnostic__3896,DANet,algs-gpu-2-datasets-b
openml__ada_agnostic__3896,DecisionTree,algs-cpu-1-datasets-b
openml__ada_agnostic__3896,DecisionTree,all-datasets-b
openml__ada_agnostic__3896,DeepFM,algs-gpu-2-datasets-b
openml__ada_agnostic__3896,KNN,algs-cpu-1-datasets-b
openml__ada_agnostic__3896,LightGBM,algs-cpu-1-datasets-b
openml__ada_agnostic__3896,LinearModel,algs-cpu-1-datasets-b
openml__ada_agnostic__3896,LinearModel,all-datasets-b
openml__ada_agnostic__3896,MLP,algs-gpu-1-datasets-b-v2
openml__ada_agnostic__3896,MLP,algs-gpu-1-datasets-b-v3
openml__ada_agnostic__3896,MLP,algs-gpu-1-datasets-b
openml__ada_agnostic__3896,NAM,algs-gpu-2-datasets-b
openml__ada_agnostic__3896,NODE,algs-gpu-2-datasets-b
openml__ada_agnostic__3896,RandomForest,algs-cpu-1-datasets-b
openml__ada_agnostic__3896,STG,algs-gpu-2-datasets-b
openml__ada_agnostic__3896,SVM,algs-cpu-1-datasets-b
openml__ada_agnostic__3896,TabNet,algs-gpu-1-datasets-b-v3
openml__ada_agnostic__3896,TabNet,algs-gpu-1-datasets-b
openml__ada_agnostic__3896,TabTransformer,algs-gpu-2-datasets-b
openml__ada_agnostic__3896,VIME,algs-gpu-1-datasets-b-v3
openml__ada_agnostic__3896,VIME,algs-gpu-1-datasets-b
openml__ada_agnostic__3896,XGBoost,algs-gpu-1-datasets-b-v2
openml__ada_agnostic__3896,XGBoost,algs-gpu-1-datasets-b-v3
openml__ada_agnostic__3896,XGBoost,algs-gpu-1-datasets-b
openml__ada_agnostic__3896,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__ada_agnostic__3896,rtdl_MLP,algs-gpu-2-datasets-b
openml__ada_agnostic__3896,rtdl_ResNet,algs-gpu-2-datasets-b
openml__adult-census__3953,CatBoost,gpu-expt-a
openml__adult-census__3953,DANet,algs-gpu-2-datasets-a
openml__adult-census__3953,DecisionTree,cpu-expt
openml__adult-census__3953,DeepFM,algs-gpu-2-datasets-a
openml__adult-census__3953,KNN,cpu-expt
openml__adult-census__3953,LightGBM,cpu-expt
openml__adult-census__3953,LinearModel,cpu-expt
openml__adult-census__3953,MLP,gpu-expt-a
openml__adult-census__3953,NAM,algs-gpu-2-datasets-a
openml__adult-census__3953,NODE,algs-gpu-2-datasets-a
openml__adult-census__3953,RandomForest,cpu-expt
openml__adult-census__3953,SAINT,algs-gpu-2-datasets-a
openml__adult-census__3953,STG,algs-gpu-2-datasets-a
openml__adult-census__3953,SVM,cpu-expt
openml__adult-census__3953,TabNet,gpu-expt-a
openml__adult-census__3953,TabTransformer,algs-gpu-2-datasets-a
openml__adult-census__3953,VIME,gpu-expt-a
openml__adult-census__3953,XGBoost,gpu-expt-a
openml__adult-census__3953,rtdl_MLP,algs-gpu-2-datasets-a
openml__adult-census__3953,rtdl_ResNet,algs-gpu-2-datasets-a
openml__adult__7592,CatBoost,gpu-expt-a
openml__adult__7592,DANet,algs-gpu-2-datasets-a
openml__adult__7592,DecisionTree,cpu-expt
openml__adult__7592,DeepFM,algs-gpu-2-datasets-a
openml__adult__7592,KNN,cpu-expt
openml__adult__7592,LightGBM,cpu-expt
openml__adult__7592,LinearModel,cpu-expt
openml__adult__7592,MLP,gpu-expt-a
openml__adult__7592,NAM,algs-gpu-2-datasets-a
openml__adult__7592,NODE,algs-gpu-2-datasets-a
openml__adult__7592,RandomForest,cpu-expt
openml__adult__7592,SAINT,algs-gpu-2-datasets-a
openml__adult__7592,STG,algs-gpu-2-datasets-a
openml__adult__7592,SVM,cpu-expt
openml__adult__7592,TabNet,gpu-expt-a
openml__adult__7592,TabTransformer,algs-gpu-2-datasets-a
openml__adult__7592,VIME,gpu-expt-a
openml__adult__7592,XGBoost,gpu-expt-a
openml__adult__7592,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__adult__7592,rtdl_MLP,algs-gpu-2-datasets-a
openml__airlines__189354,CatBoost,gpu-expt-a
openml__airlines__189354,DANet,algs-gpu-2-datasets-a
openml__airlines__189354,DecisionTree,cpu-expt
openml__airlines__189354,DeepFM,algs-gpu-2-datasets-a
openml__airlines__189354,KNN,cpu-expt
openml__airlines__189354,LightGBM,cpu-expt
openml__airlines__189354,LinearModel,cpu-expt
openml__airlines__189354,MLP,gpu-expt-a
openml__airlines__189354,NAM,algs-gpu-2-datasets-a
openml__airlines__189354,NODE,algs-gpu-2-datasets-a
openml__airlines__189354,RandomForest,cpu-expt
openml__airlines__189354,SAINT,algs-gpu-2-datasets-a
openml__airlines__189354,STG,algs-gpu-2-datasets-a
openml__airlines__189354,SVM,cpu-expt
openml__airlines__189354,TabNet,gpu-expt-a
openml__airlines__189354,TabTransformer,algs-gpu-2-datasets-a
openml__airlines__189354,VIME,gpu-expt-a
openml__airlines__189354,XGBoost,gpu-expt-a
openml__airlines__189354,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__airlines__189354,rtdl_MLP,algs-gpu-2-datasets-a
openml__airlines__189354,rtdl_ResNet,algs-gpu-2-datasets-a
openml__albert__189356,CatBoost,gpu-expt-a
openml__albert__189356,DANet,algs-gpu-2-datasets-a
openml__albert__189356,DecisionTree,cpu-expt
openml__albert__189356,DeepFM,algs-gpu-2-datasets-a
openml__albert__189356,KNN,cpu-expt
openml__albert__189356,LinearModel,cpu-expt
openml__albert__189356,MLP,gpu-expt-a
openml__albert__189356,NAM,algs-gpu-2-datasets-a
openml__albert__189356,NODE,algs-gpu-2-datasets-a
openml__albert__189356,RandomForest,cpu-expt
openml__albert__189356,SAINT,algs-gpu-2-datasets-a
openml__albert__189356,STG,algs-gpu-2-datasets-a
openml__albert__189356,SVM,cpu-expt
openml__albert__189356,TabNet,gpu-expt-a
openml__albert__189356,TabTransformer,algs-gpu-2-datasets-a
openml__albert__189356,VIME,gpu-expt-a
openml__albert__189356,XGBoost,gpu-expt-a
openml__albert__189356,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__albert__189356,rtdl_ResNet,algs-gpu-2-datasets-a
openml__aloi__12732,CatBoost,algs-gpu-1-datasets-b-v2
openml__aloi__12732,CatBoost,algs-gpu-1-datasets-b-v3
openml__aloi__12732,CatBoost,algs-gpu-1-datasets-b
openml__aloi__12732,DecisionTree,algs-cpu-1-datasets-b
openml__aloi__12732,DeepFM,algs-gpu-2-datasets-b
openml__aloi__12732,KNN,algs-cpu-1-datasets-b
openml__aloi__12732,LightGBM,algs-cpu-1-datasets-b
openml__aloi__12732,LinearModel,algs-cpu-1-datasets-b
openml__aloi__12732,LinearModel,all-datasets-b
openml__aloi__12732,MLP,algs-gpu-1-datasets-b-v3
openml__aloi__12732,MLP,algs-gpu-1-datasets-b
openml__aloi__12732,NAM,algs-gpu-2-datasets-b
openml__aloi__12732,NODE,algs-gpu-2-datasets-b
openml__aloi__12732,RandomForest,algs-cpu-1-datasets-b
openml__aloi__12732,STG,algs-gpu-2-datasets-b
openml__aloi__12732,TabTransformer,algs-gpu-2-datasets-b
openml__aloi__12732,VIME,algs-gpu-1-datasets-b-v3
openml__aloi__12732,VIME,algs-gpu-1-datasets-b
openml__aloi__12732,XGBoost,algs-gpu-1-datasets-b-v2
openml__aloi__12732,XGBoost,algs-gpu-1-datasets-b-v3
openml__aloi__12732,XGBoost,algs-gpu-1-datasets-b
openml__analcatdata_authorship__3549,CatBoost,gpu-expt-a
openml__analcatdata_authorship__3549,DANet,algs-gpu-2-datasets-a
openml__analcatdata_authorship__3549,DecisionTree,cpu-expt
openml__analcatdata_authorship__3549,KNN,cpu-expt
openml__analcatdata_authorship__3549,LightGBM,cpu-expt
openml__analcatdata_authorship__3549,LinearModel,cpu-expt
openml__analcatdata_authorship__3549,MLP,gpu-expt-a
openml__analcatdata_authorship__3549,NODE,algs-gpu-2-datasets-a
openml__analcatdata_authorship__3549,RandomForest,cpu-expt
openml__analcatdata_authorship__3549,SAINT,algs-gpu-2-datasets-a
openml__analcatdata_authorship__3549,STG,algs-gpu-2-datasets-a
openml__analcatdata_authorship__3549,SVM,cpu-expt
openml__analcatdata_authorship__3549,TabNet,gpu-expt-a
openml__analcatdata_authorship__3549,TabTransformer,algs-gpu-2-datasets-a
openml__analcatdata_authorship__3549,VIME,gpu-expt-a
openml__analcatdata_authorship__3549,XGBoost,gpu-expt-a
openml__analcatdata_authorship__3549,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__analcatdata_authorship__3549,rtdl_MLP,algs-gpu-2-datasets-a
openml__analcatdata_authorship__3549,rtdl_ResNet,algs-gpu-2-datasets-a
openml__analcatdata_boxing1__3540,CatBoost,algs-gpu-1-datasets-b-v2
openml__analcatdata_boxing1__3540,CatBoost,algs-gpu-1-datasets-b-v3
openml__analcatdata_boxing1__3540,CatBoost,algs-gpu-1-datasets-b
openml__analcatdata_boxing1__3540,DecisionTree,algs-cpu-1-datasets-b
openml__analcatdata_boxing1__3540,DecisionTree,all-datasets-b
openml__analcatdata_boxing1__3540,DeepFM,algs-gpu-2-datasets-b
openml__analcatdata_boxing1__3540,KNN,algs-cpu-1-datasets-b
openml__analcatdata_boxing1__3540,LightGBM,algs-cpu-1-datasets-b
openml__analcatdata_boxing1__3540,LinearModel,algs-cpu-1-datasets-b
openml__analcatdata_boxing1__3540,LinearModel,all-datasets-b
openml__analcatdata_boxing1__3540,MLP,algs-gpu-1-datasets-b-v2
openml__analcatdata_boxing1__3540,MLP,algs-gpu-1-datasets-b-v3
openml__analcatdata_boxing1__3540,MLP,algs-gpu-1-datasets-b
openml__analcatdata_boxing1__3540,NAM,algs-gpu-2-datasets-b
openml__analcatdata_boxing1__3540,NODE,algs-gpu-2-datasets-b
openml__analcatdata_boxing1__3540,RandomForest,algs-cpu-1-datasets-b
openml__analcatdata_boxing1__3540,SAINT,algs-gpu-2-datasets-b
openml__analcatdata_boxing1__3540,STG,algs-gpu-2-datasets-b
openml__analcatdata_boxing1__3540,SVM,algs-cpu-1-datasets-b
openml__analcatdata_boxing1__3540,TabNet,algs-gpu-1-datasets-b-v3
openml__analcatdata_boxing1__3540,TabNet,algs-gpu-1-datasets-b
openml__analcatdata_boxing1__3540,TabTransformer,algs-gpu-2-datasets-b
openml__analcatdata_boxing1__3540,VIME,algs-gpu-1-datasets-b-v3
openml__analcatdata_boxing1__3540,VIME,algs-gpu-1-datasets-b
openml__analcatdata_boxing1__3540,XGBoost,algs-gpu-1-datasets-b-v2
openml__analcatdata_boxing1__3540,XGBoost,algs-gpu-1-datasets-b-v3
openml__analcatdata_boxing1__3540,XGBoost,algs-gpu-1-datasets-b
openml__analcatdata_boxing1__3540,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__analcatdata_boxing1__3540,rtdl_MLP,algs-gpu-2-datasets-b
openml__analcatdata_boxing1__3540,rtdl_ResNet,algs-gpu-2-datasets-b
openml__analcatdata_chlamydia__3739,CatBoost,algs-gpu-1-datasets-b-v2
openml__analcatdata_chlamydia__3739,CatBoost,algs-gpu-1-datasets-b-v3
openml__analcatdata_chlamydia__3739,CatBoost,algs-gpu-1-datasets-b
openml__analcatdata_chlamydia__3739,DANet,algs-gpu-2-datasets-b
openml__analcatdata_chlamydia__3739,DecisionTree,algs-cpu-1-datasets-b
openml__analcatdata_chlamydia__3739,DecisionTree,all-datasets-b
openml__analcatdata_chlamydia__3739,DeepFM,algs-gpu-2-datasets-b
openml__analcatdata_chlamydia__3739,KNN,algs-cpu-1-datasets-b
openml__analcatdata_chlamydia__3739,LightGBM,algs-cpu-1-datasets-b
openml__analcatdata_chlamydia__3739,LinearModel,algs-cpu-1-datasets-b
openml__analcatdata_chlamydia__3739,LinearModel,all-datasets-b
openml__analcatdata_chlamydia__3739,MLP,algs-gpu-1-datasets-b-v2
openml__analcatdata_chlamydia__3739,MLP,algs-gpu-1-datasets-b-v3
openml__analcatdata_chlamydia__3739,MLP,algs-gpu-1-datasets-b
openml__analcatdata_chlamydia__3739,NAM,algs-gpu-2-datasets-b
openml__analcatdata_chlamydia__3739,NODE,algs-gpu-2-datasets-b
openml__analcatdata_chlamydia__3739,RandomForest,algs-cpu-1-datasets-b
openml__analcatdata_chlamydia__3739,STG,algs-gpu-2-datasets-b
openml__analcatdata_chlamydia__3739,SVM,algs-cpu-1-datasets-b
openml__analcatdata_chlamydia__3739,TabNet,algs-gpu-1-datasets-b-v3
openml__analcatdata_chlamydia__3739,TabNet,algs-gpu-1-datasets-b
openml__analcatdata_chlamydia__3739,TabTransformer,algs-gpu-2-datasets-b
openml__analcatdata_chlamydia__3739,VIME,algs-gpu-1-datasets-b-v3
openml__analcatdata_chlamydia__3739,VIME,algs-gpu-1-datasets-b
openml__analcatdata_chlamydia__3739,XGBoost,algs-gpu-1-datasets-b-v2
openml__analcatdata_chlamydia__3739,XGBoost,algs-gpu-1-datasets-b-v3
openml__analcatdata_chlamydia__3739,XGBoost,algs-gpu-1-datasets-b
openml__analcatdata_chlamydia__3739,rtdl_FTTransformer,algs-gpu-2-datasets-b
openml__analcatdata_chlamydia__3739,rtdl_MLP,algs-gpu-2-datasets-b
openml__analcatdata_chlamydia__3739,rtdl_ResNet,algs-gpu-2-datasets-b
openml__analcatdata_dmft__3560,CatBoost,gpu-expt-a
openml__analcatdata_dmft__3560,DANet,algs-gpu-2-datasets-a
openml__analcatdata_dmft__3560,DecisionTree,cpu-expt
openml__analcatdata_dmft__3560,KNN,cpu-expt
openml__analcatdata_dmft__3560,LightGBM,cpu-expt
openml__analcatdata_dmft__3560,LinearModel,cpu-expt
openml__analcatdata_dmft__3560,MLP,gpu-expt-a
openml__analcatdata_dmft__3560,NODE,algs-gpu-2-datasets-a
openml__analcatdata_dmft__3560,RandomForest,cpu-expt
openml__analcatdata_dmft__3560,SAINT,algs-gpu-2-datasets-a
openml__analcatdata_dmft__3560,STG,algs-gpu-2-datasets-a
openml__analcatdata_dmft__3560,SVM,cpu-expt
openml__analcatdata_dmft__3560,TabNet,gpu-expt-a
openml__analcatdata_dmft__3560,TabTransformer,algs-gpu-2-datasets-a
openml__analcatdata_dmft__3560,VIME,gpu-expt-a
openml__analcatdata_dmft__3560,XGBoost,gpu-expt-a
openml__analcatdata_dmft__3560,rtdl_FTTransformer,algs-gpu-2-datasets-a
openml__analcatdata_dmft__3560,rtdl_MLP,algs-gpu-2-datasets-a
openml__analcatdata_dmft__3560,rtdl_ResNet,algs-gpu-2-datasets-a
openml__anneal__2867,CatBoost,algs-gpu-1-datasets-b-v2
openml__anneal__2867,CatBoost,algs-gpu-1-datasets-b-v3
openml__anneal__2867,CatBoost,algs-gpu-1-datasets-b
openml__anneal__2867,DANet,algs-gpu-2-datasets-b
openml__anneal__2867,DecisionTree,algs-cpu-1-datasets-b
openml__anneal__2867,DecisionTree,all-datasets-b
openml__anneal__2867,KNN,algs-cpu-1-datasets-b
openml__anneal__2867,LightGBM,algs-cpu-1-datasets-b
openml__anneal__2867,LinearModel,algs-cpu-1-datasets-b
openml__anneal__2867,LinearModel,all-datasets-b
openml__anneal__2867,MLP,algs-gpu-1-datasets-b-v2
openml__anneal__2867,MLP,algs-gpu-1-datasets-b-v3
openml__anneal__2867,MLP,algs-gpu-1-datasets-b
